reversal_mV,input,seed,condition,P1_spikes,events
-70.0,candidate_male,11,intact,0,1124
-70.0,candidate_male,11,mAL_blocked,4,1124
-70.0,candidate_male,12,intact,0,1073
-70.0,candidate_male,12,mAL_blocked,5,1073
-70.0,candidate_male,13,intact,0,1060
-70.0,candidate_male,13,mAL_blocked,1,1060
-70.0,candidate_female,11,intact,11,1088
-70.0,candidate_female,11,mAL_blocked,18,1088
-70.0,candidate_female,12,intact,8,1061
-70.0,candidate_female,12,mAL_blocked,18,1061
-70.0,candidate_female,13,intact,8,1111
-70.0,candidate_female,13,mAL_blocked,20,1111
-80.0,candidate_male,11,intact,0,1124
-80.0,candidate_male,11,mAL_blocked,4,1124
-80.0,candidate_male,12,intact,0,1073
-80.0,candidate_male,12,mAL_blocked,7,1073
-80.0,candidate_male,13,intact,0,1060
-80.0,candidate_male,13,mAL_blocked,1,1060
-80.0,candidate_female,11,intact,10,1088
-80.0,candidate_female,11,mAL_blocked,21,1088
-80.0,candidate_female,12,intact,10,1061
-80.0,candidate_female,12,mAL_blocked,23,1061
-80.0,candidate_female,13,intact,9,1111
-80.0,candidate_female,13,mAL_blocked,22,1111
